bedrijfsnaam,website,branche,aantal_medewerkers,locatie,voornaam,achternaam,functie,email,telefoon,linkedin_url,status,campaign_id,email_sent_at,opened,clicked,replied,reply_text,reply_at,pain_points,personalisatie_note,instantly_lead_id,last_contacted,follow_up_count
Bar Beton Utrecht Rijnsweerd,http://www.bar-beton.nl/,Horeca,,"Pythagoraslaan 101, 16h, 3584 BB Utrecht, Nederland",,,,,085 888 22 11,,new,,,,,,,,{},,,,0
Nieuw China,/url?q=http://www.nieuwchina.nl/&opi=79508299&sa=U&ved=0ahUKEwjWi_Tfr7ORAxWqN2IAHak8AjYQ61gIGSgQ&usg=AOvVaw2Eolw7rhJhjRI5CoNDwUrV,Horeca,,"Biltstraat 45, 3572 AE Utrecht, Nederland",,,,,+31 30 231 3404,,new,,,,,,,,{},,,,0
Casa di Roma,http://www.casadiroma.nl/,Horeca,,"Biltstraat 75, 3572 AJ Utrecht, Nederland",,,,,+31 30 232 2573,,new,,,,,,,,{},,,,0
Wok & Noodle Bar,https://www.woknoodlebar.nl/,Horeca,,"Nachtegaalstraat 68, 3581 AM Utrecht, Nederland",,,,,0302314344,,new,,,,,,,,{},,,,0
Pizzeria Santa Lucia,http://www.pizzeria-santalucia.nl/,Horeca,,"Nobelstraat 14, 3512 EN Utrecht, Nederland",,,,,+31 30 231 9229,,new,,,,,,,,{},,,,0
Pizza'dam Utrecht binnenstad,https://pizzadam.nl/,Horeca,,"Lange Smeestraat 26, 3511 PX Utrecht, Nederland",,,,,020 304 8870,,new,,,,,,,,{},,,,0
Pizzeria Il Forno,https://www.pizzeriailforno.nl/,Horeca,,"Jan van Scorelstraat 62, 3583 CR Utrecht, Nederland",,,,,+31 30 254 5775,,new,,,,,,,,{},,,,0
Pizzeria Luigi's,https://www.luigis-utrecht.nl/,Horeca,,"Zevenwouden 216, 3524 CX Utrecht, Nederland",,,,,+31303074481,,new,,,,,,,,{},,,,0
Anne&Max Utrecht Burgemeester Reiger,/url?q=http://www.annemax.nl/vestigingen/utrecht-burgemeester-reiger&opi=79508299&sa=U&ved=0ahUKEwjPuaP7r7ORAxVjMlkFHUMHG28Q61gIGCgQ&usg=AOvVaw0AIrqk3YgV4vx4EvSimDvP,Horeca,,"Burgemeester Reigerstraat 15, 3581 KJ Utrecht, Nederland",,,,,+31 30 785 7016,,new,,,,,,,,{},,,,0
Darras Coffee Roasters Utrecht,https://www.darrascoffeeroasters.nl/,Horeca,,"Bakkerstraat 5, 3511 JV Utrecht, Nederland",,,,,+31 6 38210108,,new,,,,,,,,{},,,,0
Canoeing By Night,https://www.google.com/maps/search/?api=1&query=Canoeing%20By%20Night&query_place_id=ChIJ__-jPaFoxkcR9HvOxHjg6Ew,Horeca,,"Weg naar Rhijnauwen 2, 3584 AD Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
Hotel Domstad,http://www.hoteldomstad.nl/,Horeca,,"Parkstraat 5, 3581 PA Utrecht, Nederland",,,,,+31 30 231 0131,,new,,,,,,,,{},,,,0
Leonardo Hotel Utrecht City Center,https://www.leonardo-hotels.nl/utrecht/leonardo-hotel-utrecht-city-center?utm_source=gmb&utm_medium=link_site_gmb&utm_campaign=leonardo-hotel-utrecht-city-center,Horeca,,"Vredenburg 14, 3511 AE Utrecht, Nederland",,,,,+31 30 233 1232,https://www.linkedin.com/company/leonardo-hotels,new,,,,,,,,{},,,,0
Holland Casino,https://hc.nl/vestigingen/utrecht,Horeca,,"Winthontlaan 8, 3526 KV Utrecht, Nederland",,,,,+31 88 090 0500,,new,,,,,,,,{},,,,0
Domino's Pizza Utrecht Ina Boudier Bakkerhof,https://www.dominos.nl/?utm_source=google&utm_medium=local&utm_campaign=yext,Horeca,,"Ina Boudier-Bakkerhof 2, 3582 VX Utrecht, Nederland",,,,,+31 30 208 1001,,new,,,,,,,,{},,,,0
Pizzeria Toscana,http://www.pizzeriatoscana.nl/,Horeca,,"Rijnlaan 57, 3522 SG Utrecht, Nederland",,,,,0302148055,,new,,,,,,,,{},,,,0
Domino's Pizza Utrecht Biltstraat,https://www.dominos.nl/?utm_source=google&utm_medium=local&utm_campaign=yext,Horeca,,"Biltstraat 43, 3572 AD Utrecht, Nederland",,,,,+31 30 410 0234,,new,,,,,,,,{},,,,0
Pizzaria Smaragd,https://www.umenu.nl/find/49482/nl/,Horeca,,"Smaragdplein 250-NAAST, 3523 ED Utrecht, Nederland",,,,,+31 30 280 3340,,new,,,,,,,,{},,,,0
Bastion Hotel Utrecht,https://www.bastionhotels.com/nl-nl/hotels/hotel-utrecht?utm_source=google&utm_medium=organic&utm_campaign=gmb-B06,Horeca,,"Mauritiuslaan 1, 3526 LD Utrecht, Nederland",,,,,+31 30 287 1400,www.linkedin.com/company/bastionhotels,new,,,,,,,,{},,,,0
