name,address,phone,website,email
"Williams Farmhouse","Beethovenstraat 55, 1077 HN Amsterdam","020 205 1335","http://www.williamsfarmhouse.com/","user@domain.com"
"Hasta La Vista, Baby - Restaurant & Rooftop Bar","Eduard van Beinumstraat 40, 1077 CZ Amsterdam","020 261 1522","https://hastalavista.baby/","events@hastalavista.baby"
"Restaurant De Kas","Kamerlingh Onneslaan 3, 1097 DE Amsterdam","020 462 4562","http://www.restaurantdekas.nl/","user@domain.com"
"SECRET GARDEN","Reguliersdwarsstraat 38, 1017 BM Amsterdam","020 247 4060","http://www.secretgardenamsterdam.com/",""
"Badcuyp","Eerste Sweelinckstraat 10, 1073 CM Amsterdam","06 42902310","https://badcuypamsterdam.nl/",""
"Senses restaurant","Vijzelstraat 45, 1017 HE Amsterdam","020 530 6266","http://www.sensesrestaurant.nl/","welcome@sensesrestaurant.nl"
"Troef","Schollenbrugstraat 8, 1091 EX Amsterdam","06 29827120","http://www.troefamsterdam.nl/","info@troefamsterdam.nl"
"Renvy","Prinsengracht 587, 1016 HT Amsterdam","020 523 1259","https://www.hyattrestaurants.com/en/amsterdam/restaurant/renvy",""
"Little Buddha Asian restaurant - Best Asian Restaurant Amsterdam","Halvemaansteeg 18, 1017 CR Amsterdam","06 12738585","",""
"Wagyu Kanata","Buitenveldertselaan 158A, 1081 AB Amsterdam","020 737 2817","https://www.wagyukanata.com/buitenveldert","info@wagyukanata.com"
"Tannay","Zandhoek 14, 1013 KT Amsterdam","020 772 6743","http://www.tannay.nl/","info@tannay.nl"
"Restaurant Bougainville","Dam 27, 1012 JS Amsterdam","020 218 2182","https://www.restaurantbougainville.com/nl/",""
"Vegan Temple Bar","Lange Leidsedwarsstraat 17, 1017 NE Amsterdam","020 776 8021","http://vegantemplebar.nl/","contact@vegantemplebar.nl"
"Night Kitchen Amsterdam","Jan Pieter Heijestraat 172H, 1054 ML Amsterdam","06 25330624","http://nightkitchenamsterdam.com/","user@domain.com"
"Restaurant Watergang","Weteringstraat 41, 1017 SM Amsterdam","06 38678170","https://www.restaurantwatergang.nl/","info@restaurantwatergang.nl"
"Restaurant Zaza's","Daniël Stalpertstraat 103, 1072 XD Amsterdam","020 673 6333","http://www.zazas.nl/","info@zazas.nl"
"CARTER","Valeriusstraat 85, 1071 MG Amsterdam","020 752 6855","https://www.barcarter.nl/",""
"Restaurant Bellezza","Oudezijds Achterburgwal 99, 1012 DD Amsterdam","020 205 2642","https://restaurantbellezza.nl/","info@restaurantbellezza.nl"
"Choux","De Ruijterkade 128, 1011 AC Amsterdam","020 210 3090","http://choux.nl/","info@choux.nl"
"Eetcafé Wijmpje Beukers","Karel du Jardinstraat 47, 1073 TB Amsterdam","020 331 1138","http://www.wijmpjebeukers.nl/","gebruiker@domein.com"
