bedrijfsnaam,website,branche,aantal_medewerkers,locatie,voornaam,achternaam,functie,email,telefoon,linkedin_url,status,campaign_id,email_sent_at,opened,clicked,replied,reply_text,reply_at,pain_points,personalisatie_note,instantly_lead_id,last_contacted,follow_up_count
Bagels & Beans,http://www.bagelsbeans.nl/,Horeca,,"Biltstraat 60, 3572 BD Utrecht, Nederland",,,,hallo@bagelsbeans.nl,+31 30 200 6942,https://www.linkedin.com/company/bagels-,new,,,,,,,,{},,,,0
De keuken van Thijs,http://www.dekeukenvanthijs.nl/,Horeca,,"Biltstraat 41, 3572 AD Utrecht, Nederland",,,,info@dekeukenvanthijs.nl,0302319070,,new,,,,,,,,{},,,,0
Bastacosi,http://bastacosi.nl/,Horeca,,"Biltstraat 33, 3572 AC Utrecht, Nederland",,,,info@bastacosi.nl,+31630486646,,new,,,,,,,,{},,,,0
Eat Out,https://eat-out.nl/,Horeca,,"Coïmbrapad 10, 3584 CS Utrecht, Nederland",,,,info@eat-out.nl,+31 6 87697951,,new,,,,,,,,{},,,,0
Kaatje's Restaurant,http://www.restaurantkaatje.com/,Horeca,,"Adriaen van Ostadelaan 67A, 3582 KE Utrecht, Nederland",,,,restaurantkaatjes@gmail.com,+31 30 251 1182,,new,,,,,,,,{},,,,0
Trattoria da Roberto Utrecht 🇮🇹,https://trattoriadaroberto.nl/,Horeca,,"Bosboomstraat 24, 3582 KH Utrecht, Nederland",,,,contact@trattoriadaroberto.nl,0307854079,,new,,,,,,,,{},,,,0
De Pizzabakkers Nachtegaalstraat,https://www.depizzabakkers.nl/vestigingen/utrecht-nachtegaalstraat/,Horeca,,"Nachtegaalstraat 70, 3581 AM Utrecht, Nederland",,,,nachtegaalstraat@depizzabakkers.nl,+31302333546,https://www.linkedin.com/company/de-pizzabakkers,new,,,,,,,,{},,,,0
NOON BAR,http://www.noonbar.nl/,Horeca,,"Burgemeester Fockema Andreaelaan 1, 3582 LA Utrecht, Nederland",,,,info@noonbar.nl,,https://www.linkedin.com/company/noon-bar,new,,,,,,,,{},,,,0
Vegitalian Pizzabar,https://vegitalian.com/locations/utrecht-nachtegaalstraat/,Horeca,,"Nachtegaalstraat 29B, 3581 AB Utrecht, Nederland",,,,nachtegaalstraat.utrecht@vegitalian.com,+31643203416,,new,,,,,,,,{},,,,0
Vascobelo V-bar Nachtegaalstraat,https://vascobelo.com/locaties/v-bar/nachtegaalstraat/l98c15,Horeca,,"Nachtegaalstraat 52, 3581 AL Utrecht, Nederland",,,,vbar.nachtegaalstraat@vascobelo.com,030 808 04 67,https://www.linkedin.com/company/vascobelo,new,,,,,,,,{},,,,0
PizzArt,http://www.pizzartutrecht.nl/,Horeca,,"Zevenwouden 236, 3524 CX Utrecht, Nederland",,,,pizzartlunetten@gmail.com,0308782483,,new,,,,,,,,{},,,,0
O'Panuozzo Neapolitan Pizzeria,https://opanuozzopizzeria.com/,Horeca,,"Mariastraat 35, 3511 LN Utrecht, Nederland",,,,opanuozzomariastraat@gmail.com,0307439706,,new,,,,,,,,{},,,,0
Pizza Beppe Utrecht Oost,https://www.pizzabeppe.nl/en/locations/utrecht/oost?utm_source=google&utm_medium=organic&utm_campaign=bedrijfprofiel&utm_content=websiteklik,Horeca,,"Jan van Scorelstraat 33, 3583 CK Utrecht, Nederland",,,,groupreservation6@pizzabeppe.nl,+31 30 304 5290,,new,,,,,,,,{},,,,0
Lalotta Pizza Utrecht,https://lalottapizza.nl/,Horeca,,"Jan van Scorelstraat 21, 3583 CJ Utrecht, Nederland",,,,info@lalottapizza.nl,+31 30 743 8648,,new,,,,,,,,{},,,,0
Kafé België,http://www.kafebelgie.nl/,Horeca,,"Oudegracht 196, 3511 NR Utrecht, Nederland",,,,info@kafebelgie.nl,+31302312666,,new,,,,,,,,{},,,,0
The Streetfood Club Utrecht,http://www.thestreetfoodclub.nl/utrecht,Horeca,,"Janskerkhof 9, 3512 BK Utrecht, Nederland",,,,utrecht@thestreetfoodclub.nl,+31303045241,https://www.linkedin.com/company/28644439,new,,,,,,,,{},,,,0
Pizzeria Tricolore,http://www.pizzeriatricolore.nl/,Horeca,,"Coïmbrapad 2-4, 3584 CS Utrecht, Nederland",,,,pizzeria-tricolore@hotmail.com,+31 30 258 1430,,new,,,,,,,,{},,,,0
JJ's Pizzeria,http://www.jjpizzeria.nl/,Horeca,,"Oudwijkerdwarsstraat 98, 3581 LH Utrecht, Nederland",,,,jjpizzeria@outlook.com,030 251 98 75,,new,,,,,,,,{},,,,0
Lebowski,http://www.grandcafelebowski.nl/,Horeca,,"Domplein 17, 3512 JD Utrecht, Nederland",,,,le@bow.ski,+31302315217,,new,,,,,,,,{},,,,0
"Cornelis coffee, food & a room",http://cornelis-utrecht.nl/,Horeca,,"Maliestraat 16, 3581 SL Utrecht, Nederland",,,,hello@cornelis-Utrecht.nl,+31 30 259 1711,,new,,,,,,,,{},,,,0
Aristo meeting center Utrecht Lunetten,https://aristo.nl/vergaderlocatie-utrecht-lunetten,Horeca,,"Brennerbaan 150, 3524 BN Utrecht, Nederland",,,,boeking@aristo.nl,+212-800-1234,https://www.linkedin.com/company/aristo-meeting-centers,new,,,,,,,,{},,,,0
Natuurlijk Catering,http://www.natuurlijkhome.nl/,Horeca,,"Seringstraat 59, 3551 TK Utrecht, Nederland",,,,natuurlijkcatering@gmail.com,+31 6 24282355,,new,,,,,,,,{},,,,0
Waterlinie Lodges,http://www.waterlinielodges.nl/,Horeca,,"Koningsweg 135, 2, 3585 LA Utrecht, Nederland",,,,info@waterlinielodges.nl,+31 6 41623133,https://www.linkedin.com/company/waterlinie-lodges,new,,,,,,,,{},,,,0
Bedrijfscatering Utrecht,https://bedrijfscateringutrecht.nl/,Horeca,,"Amsterdamsestraatweg 543, 3553 EG Utrecht, Nederland",,,,info@bedrijfscateringutrecht.nl,+31 30 888 0889,https://www.linkedin.com/company/bedrijfscatering-utrecht,new,,,,,,,,{},,,,0
Hotel Oorsprongpark,http://www.oorsprongpark.nl/,Horeca,,"F.C. Dondersstraat 12, 3572 JH Utrecht, Nederland",,,,info@defaulthotel.com,+31302716303,,new,,,,,,,,{},,,,0
Zahia’s Oosterse Maaltijden,http://zahias.nl/,Horeca,,"Treek 74, 3524 TB Utrecht, Nederland",,,,zahiahamad74@gmail.com,+31 6 20286799,,new,,,,,,,,{},,,,0
FRIT'ZZA - Italian Street Food,https://www.fritzza.nl/,Horeca,,"Twijnstraat 55, 3511 ZH Utrecht, Nederland",,,,info@fritzza.nl,+31616647779,,new,,,,,,,,{},,,,0
Hotel NH Centre Utrecht,https://www.nh-hotels.com/en/hotel/nh-centre-utrecht?utm_campaign=local-gmb&utm_medium=organic_search&utm_source=google_gmb,Horeca,,"Janskerkhof 10, 3512 BL Utrecht, Nederland",,,,nhcentreutrecht@nh-hotels.com,+31 30 231 3169,,new,,,,,,,,{},,,,0
City Center Lodge Utrecht,http://www.citycenterlodgeutrecht.nl/,Horeca,,"Wittevrouwensingel 37, 3581 GD Utrecht, Nederland",,,,welcome@cclu.nl,+31308000470,https://nl.linkedin.com/company/citycenterlodgeutrecht,new,,,,,,,,{},,,,0
MUZE Hotel Utrecht,https://www.muzehotelutrecht.com/?utm_source=GMBlisting&utm_medium=organic,Horeca,,"Tolsteegsingel 34, 3582 AH Utrecht, Nederland",,,,info@muzehotelutrecht.com,+31302715571,,new,,,,,,,,{},,,,0
Conscious Hotels Oudegracht,https://www.conscioushotels.com/,Horeca,,"Oudegracht 245, 3511 NL Utrecht, Nederland",,,,mystay@conscioushotels.com,+31 20 820 3333,https://www.linkedin.com/company/conscious-hotels,new,,,,,,,,{},,,,0
Bunk Hotel Utrecht,https://wearebunk.com/utrecht/,Horeca,,"Catharijnekade 9, 3511 RT Utrecht, Nederland",,,,press@WeAreBunk.com,+31 88 696 9869,https://www.linkedin.com/company/wearebunk,new,,,,,,,,{},,,,0
Malie House,https://www.maliehouse.nl/,Horeca,,"Maliestraat 2, 3581 SL Utrecht, Nederland",,,,welcome@maliehouse.com,030 880 4300,,new,,,,,,,,{},,,,0
Mitland Utrecht,https://www.mitland.nl/,Horeca,,"Ariënslaan 1, 3573 PT Utrecht, Nederland",,,,info@mitland.nl,+310302715824,https://www.linkedin.com/company/hotel-mitland,new,,,,,,,,{},,,,0
Cupp,http://www.cupp.nl/,Horeca,,"Nobelstraat 239, 3512 EM Utrecht, Nederland",,,,hello@cupp.nl,+31 30 276 4676,https://www.linkedin.com/company/cupp,new,,,,,,,,{},,,,0
coffeecompany,http://coffeecompany.nl/,Horeca,,"Vismarkt 4, 3511 KR Utrecht, Nederland",,,,info@coffeecompany.nl,+31 30 303 9725,,new,,,,,,,,{},,,,0
Brasserie Bij de Piste,http://www.bijdepiste.nl/,Horeca,,"Nedereindseweg 501a, 3546 PM Utrecht, Nederland",,,,info@bijdepiste.nl,0302074266,,new,,,,,,,,{},,,,0
Rooftop View,https://rooftopview.godaddysites.com/,Horeca,,"Frederik Hendrikstraat 108, 3583 VR Utrecht, Nederland",,,,reneecdekker@hotmail.com,+31629073700,https://www.linkedin.com/company/rooftop-view,new,,,,,,,,{},,,,0
De Ridder Catering Utrecht,http://www.bbqenbites.nl/catering/,Horeca,,"Floridadreef 58, 3565 AM Utrecht, Nederland",,,,catering@bbqenbites.nl,030 743 8074,,new,,,,,,,,{},,,,0
Bar & Bistro Op Zuid,https://www.opzuidutrecht.nl/,Horeca,,"Neerlandiakade 2B, 3525 BT Utrecht, Nederland",,,,reserveren@opzuidutrecht.nl,030 24 511 18,,new,,,,,,,,{},,,,0
Hotel NH Utrecht,https://www.nh-hotels.com/en/hotel/nh-utrecht?utm_campaign=local-gmb&utm_medium=organic_search&utm_source=google_gmb,Horeca,,"Jaarbeursplein 24, 3521 AR Utrecht, Nederland",,,,nhutrecht@nh-hotels.com,+31 30 297 7977,,new,,,,,,,,{},,,,0
"30ML Coffee & Food - Nachtegaalstraat, Utrecht",https://www.30ml.nl/nachtegaalstraat,Horeca,,"Nachtegaalstraat 61, 3581 AD Utrecht, Nederland",,,,nachtegaalstraat@30ml.nl,+31307370231,,new,,,,,,,,{},,,,0
Restaurant 't Parkhuys B.V,http://www.tparkhuys.nl/,Horeca,,"Vrieslantlaan 7, 3526 AA Utrecht, Nederland",,,,bestel@tparkhuys.nl,+31 30 280 0159,,new,,,,,,,,{},,,,0
Léo Léo,https://www.leoleo-utrecht.nl/,Horeca,,"Twijnstraat 58, 3511 ZM Utrecht, Nederland",,,,bonjour@leoleo-utrecht.nl,,,new,,,,,,,,{},,,,0
Casa Damstraat,https://www.casadamstraat.nl/,Horeca,,"Damstraat 44, 3531 BW Utrecht, Nederland",,,,info@casadamstraat.nl,030 696 6939,,new,,,,,,,,{},,,,0
Grand Hotel Karel V,https://www.karelv.nl/,Horeca,,"Geertebolwerk 1, 3511 XA Utrecht, Nederland",,,,info@karelv.nl,+31302337555,https://www.linkedin.com/company/grandhotelkarelv,new,,,,,,,,{},,,,0
Boerderijcafé Koppelsteede | Utrecht Natuurlijk,https://www.utrechtnatuurlijk.nl/locaties/koppelsteede/,Horeca,,"Koppeldijk 115, 3524 SK Utrecht, Nederland",,,,koppelsteede@utrechtnatuurlijk.nl,0307533800,https://www.linkedin.com/company/utrecht-natuurlijk,new,,,,,,,,{},,,,0
Brasserie de Steiger,http://www.brasseriedesteiger.nl/,Horeca,,"Ptolemaeuslaan 53, 3528 BR Utrecht, Nederland",,,,info@brasseriedesteiger.nl,+31 30 288 0215,,new,,,,,,,,{},,,,0
Op Roose,https://www.oproose.nl/,Horeca,,"Rooseveltlaan 505, 3527 AD Utrecht, Nederland",,,,info@oproose.nl,+31 30 878 3674,,new,,,,,,,,{},,,,0
The Anthony Hotel Utrecht,https://www.theanthony.nl/,Horeca,,"Kanaalstraat 197-199, 3531 CG Utrecht, Nederland",,,,welcome@theanthony.nl,+31302272975,,new,,,,,,,,{},,,,0
Koffie Leute Brauhaus,http://www.koffieleute.nl/,Horeca,,"Westerkade 30, 3511 HC Utrecht, Nederland",,,,info@koffieleute.nl,,,new,,,,,,,,{},,,,0
Ibis Utrecht,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=0880&merchantid=seo-maps-NL-0880&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,Horeca,,"Bizetlaan 1, 3533 KC Utrecht, Nederland",,,,frontoffice@ibisutrecht.com,+31-30-291-0366,https://www.linkedin.com/company/all-accorlivelimitless,new,,,,,,,,{},,,,0
Restaurant Vintage Tapasbar & Wijn in Utrecht centrum,https://www.tapasbarvintage.nl/,Horeca,,"Drieharingstraat 18, 3511 BJ Utrecht, Nederland",,,,info@tapasbarvintage.nl,0302318989,,new,,,,,,,,{},,,,0
Vascobelo V-point Staat!,https://vascobelo.com/cafe-brasseries/20/utrecht-staat,Horeca,,"Papendorpseweg 75, 3528 BJ Utrecht, Nederland",,,,info@vascobelo.com,020 890 8192,https://www.linkedin.com/company/vascobelo,new,,,,,,,,{},,,,0
